weight_alpha,ai_noise_sd,misclass_rate,utility_noise_sd,seed,triple_welfare_coef,triple_welfare_se,triple_welfare_p,triple_match_coef,ai_central_hard_welfare,n_jobs
0.3,0.03,0.4,0.04,500,7.9795,5.8223,0.1705,0.0292,11.09,2464
0.3,0.03,0.4,0.08,500,6.681,7.9759,0.4022,0.0097,14.94,2464
0.3,0.03,0.4,0.15,500,18.9958,10.4036,0.0679,-0.0357,32.98,2464
0.3,0.03,0.7,0.04,500,4.1999,4.6294,0.3643,0.0812,5.28,2464
0.3,0.03,0.7,0.08,500,11.4116,7.3032,0.1182,0.0812,10.91,2464
0.3,0.03,0.7,0.15,500,15.5864,11.3464,0.1695,-0.0097,29.0,2464
0.3,0.1,0.4,0.04,500,7.2978,6.1091,0.2322,0.0195,11.84,2464
0.3,0.1,0.4,0.08,500,6.7364,7.9867,0.399,0.0,14.79,2464
0.3,0.1,0.4,0.15,500,14.2861,11.1468,0.2,-0.0162,30.33,2464
0.3,0.1,0.7,0.04,500,2.897,4.5508,0.5244,0.0844,4.44,2464
0.3,0.1,0.7,0.08,500,6.9564,7.097,0.327,0.0974,10.15,2464
0.3,0.1,0.7,0.15,500,14.7478,11.6186,0.2043,-0.0325,26.58,2464
0.3,0.2,0.4,0.04,500,6.8025,5.785,0.2396,0.0032,10.16,2464
0.3,0.2,0.4,0.08,500,5.3037,7.0921,0.4546,-0.0292,12.96,2464
0.3,0.2,0.4,0.15,500,10.1074,11.9303,0.3969,-0.0552,27.23,2464
0.3,0.2,0.7,0.04,500,3.8887,4.5417,0.3919,0.0844,4.76,2464
0.3,0.2,0.7,0.08,500,6.8218,7.1386,0.3393,0.0779,10.46,2464
0.3,0.2,0.7,0.15,500,15.7943,11.1312,0.1559,-0.0455,26.04,2464
0.5,0.03,0.4,0.04,500,10.3795,3.7033,0.0051,-0.0747,5.39,2464
0.5,0.03,0.4,0.08,500,-2.9376,5.6723,0.6045,-0.0779,9.66,2464
0.5,0.03,0.4,0.15,500,12.9207,8.8758,0.1455,-0.0227,23.93,2464
0.5,0.03,0.7,0.04,500,1.9671,4.3329,0.6498,0.0584,5.7,2464
0.5,0.03,0.7,0.08,500,0.8611,6.0286,0.8864,0.0584,15.66,2464
0.5,0.03,0.7,0.15,500,12.1312,11.4223,0.2882,0.0552,32.22,2464
0.5,0.1,0.4,0.04,500,11.0884,3.5902,0.002,-0.0682,4.9,2464
0.5,0.1,0.4,0.08,500,-3.0581,5.2409,0.5596,-0.0519,7.8,2464
0.5,0.1,0.4,0.15,500,7.0692,8.3736,0.3985,-0.0357,20.32,2464
0.5,0.1,0.7,0.04,500,1.7507,4.3405,0.6867,0.0682,6.25,2464
0.5,0.1,0.7,0.08,500,0.6221,5.8939,0.9159,0.0422,13.98,2464
0.5,0.1,0.7,0.15,500,10.4955,10.1418,0.3007,0.0292,29.63,2464
0.5,0.2,0.4,0.04,500,9.9529,3.5952,0.0056,-0.0649,3.78,2464
0.5,0.2,0.4,0.08,500,-2.3643,5.1184,0.6441,-0.0325,6.04,2464
0.5,0.2,0.4,0.15,500,10.6519,8.1369,0.1905,0.0519,19.61,2464
0.5,0.2,0.7,0.04,500,3.0408,4.4228,0.4918,0.0455,5.04,2464
0.5,0.2,0.7,0.08,500,-2.442,5.7048,0.6686,0.0812,12.83,2464
0.5,0.2,0.7,0.15,500,13.2272,9.7634,0.1755,0.0552,26.87,2464
0.8,0.03,0.4,0.04,500,-0.1528,3.146,0.9613,0.0227,0.68,2464
0.8,0.03,0.4,0.08,500,2.7506,5.6064,0.6237,0.0227,6.55,2464
0.8,0.03,0.4,0.15,500,-7.58,9.5625,0.428,0.0357,19.04,2464
0.8,0.03,0.7,0.04,500,-2.4391,3.9742,0.5394,-0.0195,2.49,2464
0.8,0.03,0.7,0.08,500,-10.3645,6.0319,0.0857,-0.0747,6.92,2464
0.8,0.03,0.7,0.15,500,-10.6427,10.2931,0.3012,-0.1201,19.55,2464
0.8,0.1,0.4,0.04,500,-2.4195,3.2282,0.4536,0.039,0.01,2464
