category,k,arm,elicitation,mechanism,d_hat_I,d_hat_I_se,d_hat_J,d_hat_J_se,match_rate,match_rate_se,total_value_per_customer,total_value_per_customer_se,attention_per_customer,attention_per_customer_se,net_welfare_per_customer,net_welfare_per_customer_se
easy,1,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,1,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.029,0.002,0.022,0.002,1.998,0.001,0.002,0.002
easy,1,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,1,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.03,0.002,0.022,0.002,1.998,0.001,0.002,0.002
easy,2,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,2,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.112,0.004,0.079,0.003,3.986,0.002,0.04,0.003
easy,2,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,2,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.111,0.004,0.079,0.003,3.986,0.002,0.039,0.003
easy,3,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,3,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.221,0.004,0.152,0.003,5.935,0.004,0.093,0.003
easy,3,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,3,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.224,0.004,0.155,0.003,5.935,0.004,0.095,0.003
easy,5,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,5,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.441,0.005,0.296,0.003,9.413,0.014,0.202,0.003
easy,5,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,5,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.442,0.005,0.296,0.003,9.413,0.014,0.202,0.003
easy,10,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
